"feature_id","domain","normalized_feature","representative_competitors","market_status","neocrm_coverage","current_spec_evidence","v0_1_value","long_term_value","implementation_effort","evidence_confidence","recommendation","proposed_value_model","primary_evidence"
"F-001","Experience","Conversational CRM workspace and command surface","Apollo; Outreach; Salesforce; Microsoft; Braze; Attio","Mixed: GA/current + rolling out","Covered","spec/product/product-definition.md#product; spec/architecture/views-and-workspaces.md","★★★★★","★★★★★","★★★☆☆","High","Clarify current spec","Core relationship workspace","https://www.apollo.io/product/intelligence"
"F-002","Experience","Cross-object relationship brief","Attio; Gong; HubSpot; Creatio","GA/current","Covered","BC-01; CAP-001; spec/product/product-definition.md#operating-promise","★★★★★","★★★★★","★★☆☆☆","High","Add experiment","Core relationship workspace","https://attio.com/platform/universal-context"
"F-003","Experience","What-changed-since-last-contact explanation","Microsoft; Gong; Outreach; Clari","Mixed: GA/current + rolling out","Partially covered","Timeline / Conversation view; OBJ-071 Signal; BC-01","★★★★★","★★★★★","★★★☆☆","High","Clarify current spec","Core relationship workspace","https://learn.microsoft.com/en-us/dynamics365/release-plan/2026wave1/sales/dynamics365-sales/business-research"
"F-004","Experience","Natural-language query, configuration, and action","Zoho; Attio; Microsoft; Creatio; Braze","Mixed: GA/current + preview","Partially covered","Conversation view; AgentCapability; ToolGrant; FR-ACT-001","★★★★☆","★★★★★","★★★★☆","High","Add experiment","Core plus governed action","https://www.zoho.com/crm/zia/generative-ai.html"
"F-005","Data and context","Identity resolution and duplicate handling","Salesforce; Microsoft; HubSpot; Demandbase","GA/current","Partially covered","FR-CTX-001 and SAFE-IDENT-001 cover resolution and safe ambiguity; duplicate decision, merge, reversal, and survivorship lifecycle are not defined","★★★★★","★★★★★","★★★★☆","High","Clarify current spec","Data and signal fabric","https://learn.microsoft.com/en-us/dynamics365/customer-insights/overview"
"F-006","Data and context","Firmographic, person, job-change, and web enrichment","Apollo; Attio; HubSpot; Clay; 6sense","GA/current","Partially covered","OBJ-076 Research; OBJ-071 Signal; FR-CTX-001","★★★☆☆","★★★★☆","★★★☆☆","High","Add experiment","Data and signal fabric","https://www.apollo.io/product/prospect-and-enrich"
"F-007","Data and context","Universal context across CRM, email, calendar, files, product, billing, and support","Attio; Gong; Clari; HubSpot","GA/current","Covered","BC-01; FR-CTX-001; ContextSnapshot; Relationship Workspace","★★★★★","★★★★★","★★★★★","High","Clarify current spec","Core relationship workspace","https://attio.com/platform/universal-context"
"F-008","Data and context","Meeting and interaction capture","Gong; Apollo; Outreach; Microsoft; Pipedrive","GA/current","Partially covered","Activity; Message; Conversation; Timeline / Conversation view","★★★★★","★★★★★","★★★☆☆","High","Add experiment","Conversation intelligence","https://www.pipedrive.com/en/newsroom/pipedrive-launches-nova-to-turn-sales-meetings-into-crm-intelligence"
"F-009","Data and context","Transcript spans, speaker attribution, and searchable conversation evidence","Gong; Apollo; Outreach; Microsoft","GA/current","Partially covered","Knowledge/Evidence; Conversation; OBJ-070 Insight","★★★★☆","★★★★★","★★★★☆","High","Add semantic object/contracts after Rob approval","Conversation intelligence","https://www.gong.io/conversation-intelligence"
"F-010","Data and context","Claim extraction with evidence, uncertainty, freshness, and acceptance state","Outreach; Gong; Apollo","GA/current","Partially covered","Canonical spec 5.1, OBJ-070 Insight, and FR-INSIGHT-001 cover claim provenance and disposition; extraction candidates, exact source spans, reviewer acceptance, and correction lifecycle are not explicit","★★★★★","★★★★★","★★★☆☆","High","Clarify current spec","Trust archive","https://support.outreach.io/support/solutions/articles/159000425187"
"F-011","Data and context","Commitment and next-step extraction","Gong; Apollo; Outreach; Microsoft","GA/current","Partially covered","Commitment; Conversation; Timeline / Conversation view","★★★★★","★★★★★","★★★☆☆","High","Add experiment","Conversation intelligence","https://www.gong.io/conversation-intelligence"
"F-012","Data and context","Buying group, stakeholder role, influence, and authority map","Demandbase; 6sense; Outreach; Salesforce","GA/current","Partially covered","Party; contextual Role; Relationship; Relationship Graph","★★★★☆","★★★★★","★★★☆☆","High","Clarify current spec","Account orchestration","https://www.demandbase.com/products/sales-intelligence/"
"F-013","Data and context","Data quality, field mapping, sync history, and reversible write-back","Clari; Apollo; Salesforce; Creatio","GA/current","Partially covered","Integration / Mapping Administration; adapter contract; FR-ACT-001","★★★★★","★★★★★","★★★★☆","High","Add experiment","Data and signal fabric","https://www.salesloft.com/platform/deal-management-software"
"F-014","Data and context","Agent interoperability through typed tools, APIs, and MCP","HubSpot; Gong; Apollo; Marketo; Creatio","Mixed: GA/current + beta","Partially covered","AgentCapability; ToolGrant; adapter contracts; SAFE-CRED-001","★★★☆☆","★★★★★","★★★★☆","High","Clarify current spec","Platform integration","https://experienceleague.adobe.com/en/docs/marketo-developer/marketo/mcp-server"
"F-015","Sales","Explainable lead, account, and opportunity qualification","Zoho; Salesforce; Microsoft; Marketo; Freshworks","GA/current","Partially covered","CustomerNeed; Insight; Signal; Recommendation; ValueHypothesis","★★★☆☆","★★★★★","★★★☆☆","High","Add experiment","Sales intelligence","https://learn.microsoft.com/en-us/dynamics365/sales/sales-qualification-agent"
"F-016","Sales","Prioritized work feed and account/contact scoring","Pipedrive; HubSpot; Zoho; Apollo; Freshworks","Mixed: GA/current + beta","Partially covered","Human Work Queue; OBJ-070 Insight; OBJ-071 Signal","★★★☆☆","★★★★☆","★★★☆☆","High","Add experiment","Sales intelligence","https://support.pipedrive.com/en/article/pulse"
"F-017","Sales","Sales sequence and cadence with state, exits, pauses, and stop rules","Zoho; HubSpot; Attio; Outreach; Apollo","GA/current","Partially covered","Trigger/Plan/WorkItem exist, but no Sequence/Cadence lifecycle","★★☆☆☆","★★★★★","★★★☆☆","High","Add semantic object/contracts after Rob approval","Sales follow-through","https://help.zoho.com/portal/en/kb/crm/automate-business-processes/cadences/articles/cadences"
